City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lebu,CL,-37.6167,-73.65,62.89,77,24,8.1,few clouds
1,Khatanga,RU,71.9667,102.5,-30.03,99,100,1.63,overcast clouds
2,East London,ZA,-33.0153,27.9116,64.33,81,84,7.07,broken clouds
3,Nikolskoye,RU,59.7035,30.7861,-0.2,88,75,4.83,broken clouds
4,Piterka,RU,50.6803,47.4454,-3.89,87,7,11.27,clear sky
5,Ushuaia,AR,-54.8,-68.3,64.06,36,20,11.5,few clouds
6,Nsoko,SZ,-27.0333,31.95,58.26,90,4,4.5,clear sky
7,Vaini,TO,-21.2,-175.2,86.16,79,40,13.8,scattered clouds
8,Aklavik,CA,68.2191,-135.0107,-5.8,77,40,0.0,scattered clouds
9,Rikitea,PF,-23.1203,-134.9692,78.3,74,1,14.12,clear sky
10,Chokurdakh,RU,70.6333,147.9167,-25.31,98,100,4.63,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,9.12,92,100,6.91,light snow
12,Kodiak,US,57.79,-152.4072,31.51,74,0,19.57,clear sky
13,Albany,US,42.6001,-73.9662,36.05,73,100,5.99,overcast clouds
14,Yulara,AU,-25.2406,130.9889,71.33,61,92,19.28,overcast clouds
15,Busselton,AU,-33.65,115.3333,61.25,76,5,8.61,clear sky
16,Cape Town,ZA,-33.9258,18.4232,69.39,77,0,11.5,clear sky
17,Mokolo,CM,10.7398,13.8019,64.76,28,25,4.36,scattered clouds
18,Saint-Pierre,RE,-21.3393,55.4781,76.68,65,75,5.75,broken clouds
19,Nenjiang,CN,49.1833,125.2167,-10.46,99,90,3.6,overcast clouds
20,Longyearbyen,SJ,78.2186,15.6401,24.64,68,40,8.05,scattered clouds
21,Port Alfred,ZA,-33.5906,26.891,62.19,94,64,9.44,broken clouds
22,Jamestown,US,42.097,-79.2353,35.19,72,100,8.05,overcast clouds
23,Tanout,NE,14.9709,8.8879,63.45,23,10,10.92,clear sky
24,Te Anau,NZ,-45.4167,167.7167,66.16,56,18,2.3,few clouds
25,Marawi,PH,7.9986,124.2928,67.32,93,100,1.63,light rain
